Your Estimate
Service Type,Components,Region,Component Price,Service Price
Amazon EC2 Service (US East (N. Virginia)),,,,$2746.48
,Compute:,US East (N. Virginia),$2746.48
Amazon S3 Service (US East (N. Virginia)),,,,$23.56
,S3 Standard Storage:,US East (N. Virginia),$23.56
Amazon CloudFront Service,,,,$352.54
,Data Transfer Out:,Global,$87.04
,Data Transfer Out to Origin:,Global,$20.48
,Requests:,Global,$0.02
,Invalidations:,Global,$245
Amazon RDS Service (US East (N. Virginia)),,,,$1651.38
,DB instances:,US East (N. Virginia),$1001.38
,Storage:,US East (N. Virginia),$250
,I/O:,US East (N. Virginia),$400
Amazon Elastic Load Balancing (US East (N. Virginia)),,,,$313.59
,Application LBs:,US East (N. Virginia),$16.47
,Network LBs:,US East (N. Virginia),$297.12
Amazon VPC Service (US East (N. Virginia)),,,,$55
,NAT Gateway,US East (N. Virginia),$37.44
,Private Link:,US East (N. Virginia),$17.56
AWS Support (Basic),,,,$0
,Support for all AWS services:,,$0
,,Total Monthly Payment:,,$5142.55
